pitch_x,pitch_y,bat_nm,swing
22,8,Player A,1
-25,-12,Player A,1
-84,62,Player A,0
-28,-17,Player A,1
-23,1,Player A,0
-45,98,Player A,0
-74,15,Player A,0
-30,5,Player A,1
1,-40,Player A,1
-28,-26,Player A,1
-86,77,Player A,0
-13,8,Player A,1
-31,2,Player A,1
13,-98,Player A,0
52,-105,Player A,0
-41,8,Player A,0
55,43,Player A,0
28,-20,Player A,1
-43,48,Player A,0
-44,70,Player A,0
-77,1,Player A,0
81,-66,Player A,0
13,55,Player A,1
-36,58,Player A,1
28,-15,Player A,0
-55,81,Player A,0
-23,31,Player A,1
-11,-103,Player A,0
-35,62,Player A,0
-2,-107,Player A,0
25,65,Player A,1
-16,-91,Player A,0
-74,17,Player A,0
36,31,Player A,1
37,55,Player A,1
1,38,Player A,1
-62,57,Player A,0
-8,29,Player A,1
-64,-1,Player A,0
-18,58,Player A,1
-64,32,Player A,0
-5,-63,Player A,1
-44,61,Player A,0
14,-106,Player A,0
26,-51,Player A,1
-60,37,Player A,0
28,-45,Player A,0
0,0,Player A,0
0,0,Player A,0
-3,48,Player A,1
-33,92,Player A,0
36,55,Player A,1
32,-16,Player A,1
-23,53,Player A,1
63,32,Player A,0
-47,95,Player A,0
25,58,Player A,1
38,22,Player A,1
16,3,Player A,1
-53,87,Player A,1
-87,-92,Player A,0
-43,-33,Player A,0
24,-16,Player A,1
95,116,Player A,0
-56,12,Player A,0
70,43,Player A,0
30,17,Player A,1
-23,-20,Player A,1
16,92,Player A,1
-55,-122,Player A,0
-25,-40,Player A,1
28,28,Player A,1
-42,1,Player A,1
-50,27,Player A,0
-68,36,Player A,0
1,47,Player A,1
-36,41,Player A,0
-81,43,Player A,0
-48,37,Player A,1
-67,45,Player A,0
67,21,Player A,0
68,38,Player A,0
-78,96,Player A,0
-3,49,Player A,0
-85,66,Player A,0
-31,137,Player A,0
-62,30,Player A,0
-20,65,Player A,0
-15,51,Player A,1
-4,53,Player A,1
13,96,Player A,0
-28,-65,Player A,1
-44,90,Player A,0
25,58,Player A,0
-23,138,Player A,1
77,-82,Player A,0
-10,-23,Player A,1
74,91,Player A,0
-63,-47,Player A,0
-76,20,Player A,0
114,-31,Player A,1
-1,150,Player A,0
-27,-1,Player A,1
-75,-28,Player A,0
-28,78,Player A,1
-33,0,Player A,0
-41,50,Player A,1
15,61,Player A,0
-87,-18,Player A,0
-256,123,Player A,0
-10,-12,Player A,1
6,130,Player A,0
31,41,Player A,1
-40,25,Player A,0
-2,28,Player A,0
-6,-10,Player A,1
-15,2,Player A,0
0,-101,Player A,0
55,113,Player A,0
-34,17,Player A,1
-81,67,Player A,0
12,43,Player A,0
-24,32,Player A,0
-50,-26,Player A,0
-84,-16,Player A,0
-26,51,Player A,0
25,139,Player A,0
30,27,Player A,1
-33,108,Player A,0
14,107,Player A,0
30,11,Player A,1
-32,11,Player A,0
-24,59,Player A,1
-23,-110,Player A,0
8,117,Player A,0
-65,92,Player A,0
-30,49,Player A,0
-64,27,Player A,0
12,32,Player A,1
-91,-62,Player A,0
-55,-3,Player A,1
-41,33,Player A,0
-81,95,Player A,0
61,-77,Player A,1
-68,0,Player A,0
-78,21,Player A,0
-44,-23,Player A,1
-35,20,Player A,1
43,-58,Player A,0
61,46,Player A,0
46,-43,Player A,0
-71,52,Player A,0
-36,62,Player A,0
-78,-76,Player A,1
-84,76,Player A,0
0,92,Player A,0
-1,-7,Player A,1
-34,99,Player A,0
11,51,Player A,1
42,0,Player A,0
57,115,Player A,0
-1,102,Player A,0
-45,46,Player A,1
46,17,Player A,0
-40,102,Player A,0
-34,-2,Player A,0
10,6,Player A,1
-34,49,Player A,1
-10,-69,Player A,1
-61,46,Player A,0
-35,-5,Player A,1
-8,119,Player A,0
-45,-13,Player A,1
-42,6,Player A,1
-47,0,Player A,0
17,123,Player A,0
-83,-70,Player A,0
-65,63,Player A,0
-4,-2,Player A,0
-28,-22,Player A,1
-30,17,Player A,1
-15,-20,Player A,1
-7,-111,Player A,0
-16,140,Player A,0
-67,22,Player A,0
-61,108,Player A,0
40,115,Player A,0
36,69,Player A,1
-45,-56,Player A,1
55,49,Player A,0
-88,57,Player A,0
-12,57,Player A,1
-28,68,Player A,0
-23,83,Player A,0
-74,2,Player A,0
-45,80,Player A,1
-31,3,Player A,1
46,13,Player A,1
-1,116,Player A,0
-83,2,Player A,0
-26,-26,Player A,1
72,-61,Player A,1
63,-47,Player A,1
32,6,Player A,1
-40,15,Player A,0
-55,86,Player A,0
-51,-32,Player A,0
-7,43,Player A,0
7,7,Player A,1
-22,56,Player A,0
-73,85,Player A,0
-96,70,Player A,0
-61,-72,Player A,0
-77,85,Player A,0
-58,16,Player A,0
-22,-8,Player A,1
44,32,Player A,0
-20,15,Player A,1
-50,87,Player A,0
-21,-2,Player A,1
-3,102,Player A,0
55,158,Player A,0
-3,123,Player A,0
-18,2,Player A,0
-13,-16,Player A,1
-30,81,Player A,1
-34,59,Player A,0
-43,48,Player A,0
-82,42,Player A,0
-85,70,Player A,0
25,43,Player A,1
-44,109,Player A,1
-58,49,Player A,0
-34,113,Player A,0
-37,-30,Player A,1
3,57,Player A,1
-77,13,Player A,0
-2,70,Player A,0
-15,52,Player A,1
-74,99,Player A,0
-73,87,Player A,0
-33,66,Player A,0
-17,66,Player A,0
23,62,Player A,1
-43,-100,Player A,0
-16,-69,Player A,1
-3,-92,Player A,0
73,63,Player A,0
35,-27,Player A,1
-28,52,Player A,1
-61,59,Player A,0
-23,-13,Player A,1
46,0,Player A,1
-65,-9,Player A,0
-63,-35,Player A,0
-35,35,Player A,1
-61,38,Player A,1
-12,-76,Player A,1
-32,120,Player A,0
-52,77,Player A,0
-28,72,Player A,0
-23,-22,Player A,1
-94,-42,Player A,0
-55,-2,Player A,1
-43,-10,Player A,1
-38,26,Player A,1
-11,107,Player A,0
-42,36,Player A,1
-77,-88,Player A,0
-28,43,Player A,0
-53,-5,Player A,0
-45,101,Player A,0
27,78,Player A,1
-62,-1,Player A,1
-52,90,Player A,0
-65,49,Player A,0
8,113,Player A,0
35,22,Player A,0
54,49,Player A,0
41,32,Player A,1
33,116,Player A,0
-71,0,Player A,0
-57,20,Player A,1
30,102,Player A,1
76,43,Player A,0
-61,23,Player A,1
-44,118,Player A,1
-42,97,Player A,1
28,63,Player A,1
47,30,Player A,0
-56,118,Player A,0
5,42,Player A,1
-76,92,Player A,0
-75,102,Player A,0
-61,87,Player A,0
1,55,Player A,1
-51,38,Player A,0
-61,-32,Player A,1
27,106,Player A,0
-17,56,Player A,1
-38,76,Player A,0
2,43,Player A,1
-50,35,Player A,0
71,100,Player A,1
-10,100,Player A,1
17,53,Player A,1
-66,49,Player A,0
-50,42,Player A,0
-40,45,Player A,1
-36,36,Player A,0
52,68,Player A,1
-63,-63,Player A,1
1,86,Player A,0
-48,49,Player A,1
57,27,Player A,0
-80,-82,Player A,0
-38,55,Player A,0
-33,103,Player A,0
44,37,Player A,0
-35,52,Player A,1
-51,-17,Player A,1
-72,6,Player A,0
-64,-105,Player A,0
24,-5,Player A,1
38,6,Player A,1
-80,28,Player A,0
48,-1,Player A,1
-68,89,Player A,0
70,137,Player A,0
52,-26,Player A,1
34,43,Player A,0
-76,-71,Player A,0
-35,29,Player A,0
1,-26,Player A,0
-37,17,Player A,1
23,100,Player A,0
-24,29,Player A,1
-20,-102,Player A,0
-55,-48,Player A,1
-32,-5,Player A,0
-35,-101,Player A,0
68,-76,Player A,0
50,59,Player A,1
-48,-37,Player A,1
16,33,Player A,1
14,57,Player A,0
-82,52,Player A,0
-86,66,Player A,0
-20,92,Player A,0
-71,69,Player A,0
81,38,Player A,0
23,53,Player A,1
90,35,Player A,0
-31,-20,Player A,1
84,-67,Player A,0
85,-77,Player A,0
-22,32,Player A,0
101,40,Player A,0
84,52,Player A,0
-24,18,Player A,1
-40,-6,Player A,1
84,68,Player A,0
88,53,Player A,0
-46,48,Player B,0
30,90,Player B,0
-41,-3,Player B,1
-19,10,Player B,1
-3,-32,Player B,1
-75,-32,Player B,0
-4,-55,Player B,1
-37,-60,Player B,0
-4,65,Player B,1
-12,4,Player B,0
65,64,Player B,0
24,12,Player B,1
25,93,Player B,0
-5,10,Player B,0
3,94,Player B,1
43,48,Player B,1
71,90,Player B,0
-18,30,Player B,1
-52,4,Player B,1
-11,82,Player B,0
11,95,Player B,0
77,95,Player B,0
-66,-104,Player B,0
-57,89,Player B,0
14,-5,Player B,1
8,7,Player B,0
108,-9,Player B,0
-35,36,Player B,1
-11,15,Player B,1
-89,4,Player B,0
36,47,Player B,1
-11,-117,Player B,0
-6,-43,Player B,1
-11,-18,Player B,1
21,-67,Player B,1
-44,31,Player B,0
-5,46,Player B,0
-62,-43,Player B,0
-77,32,Player B,0
33,12,Player B,1
-72,102,Player B,0
44,122,Player B,0
-19,29,Player B,0
-9,-2,Player B,1
42,34,Player B,0
-17,22,Player B,0
1,17,Player B,1
-40,70,Player B,0
38,-35,Player B,0
15,-25,Player B,1
35,-39,Player B,1
-59,82,Player B,0
-3,75,Player B,1
45,-16,Player B,1
-43,54,Player B,0
44,75,Player B,0
69,-2,Player B,1
-78,46,Player B,0
41,71,Player B,1
-19,36,Player B,1
-9,50,Player B,0
13,29,Player B,1
-13,10,Player B,1
18,96,Player B,1
-40,1,Player B,1
4,92,Player B,1
39,95,Player B,0
-11,43,Player B,1
-6,35,Player B,0
38,-5,Player B,0
-44,-107,Player B,0
-7,7,Player B,1
-11,-102,Player B,1
62,-110,Player B,0
-72,103,Player B,0
-47,25,Player B,0
-87,86,Player B,0
2,42,Player B,1
9,-41,Player B,1
12,-21,Player B,1
-49,-12,Player B,1
79,-110,Player B,0
51,78,Player B,1
-73,-95,Player B,0
-76,-93,Player B,0
-51,24,Player B,0
-41,12,Player B,1
64,-11,Player B,0
-56,-5,Player B,1
17,1,Player B,1
48,38,Player B,0
29,1,Player B,1
-44,40,Player B,0
116,103,Player B,0
26,18,Player B,1
119,113,Player B,0
-10,-14,Player B,1
27,2,Player B,1
15,54,Player B,0
109,85,Player B,0
-26,35,Player B,0
55,49,Player B,1
40,127,Player B,0
59,37,Player B,1
-41,4,Player B,1
-82,59,Player B,0
70,118,Player B,0
25,12,Player B,1
54,60,Player B,0
18,44,Player B,1
-37,20,Player B,1
2,-116,Player B,0
-22,-130,Player B,0
-14,-10,Player B,1
-92,130,Player B,0
-29,47,Player B,0
78,-46,Player B,0
8,11,Player B,0
-16,4,Player B,1
23,116,Player B,0
43,29,Player B,1
-30,-6,Player B,1
-3,15,Player B,1
6,-107,Player B,0
38,-113,Player B,0
-62,93,Player B,0
-14,20,Player B,0
10,-61,Player B,1
-9,-10,Player B,0
13,104,Player B,0
32,-14,Player B,1
76,87,Player B,0
75,102,Player B,0
-29,-65,Player B,1
-64,57,Player B,0
-72,92,Player B,0
-87,52,Player B,0
-89,68,Player B,0
86,-42,Player B,0
-85,-26,Player B,0
-46,31,Player B,1
34,13,Player B,1
-29,13,Player B,1
38,54,Player B,0
-19,25,Player B,1
36,17,Player B,1
-9,42,Player B,0
-76,74,Player B,0
35,61,Player B,1
60,113,Player B,0
84,103,Player B,0
-87,117,Player B,0
12,1,Player B,0
81,25,Player B,0
25,-110,Player B,0
40,6,Player B,1
10,2,Player B,0
44,62,Player B,0
-33,20,Player B,1
22,-111,Player B,1
5,48,Player B,0
-38,38,Player B,1
26,-23,Player B,1
-78,39,Player B,0
18,47,Player B,0
-40,17,Player B,0
50,40,Player B,1
25,15,Player B,0
15,58,Player B,1
74,-82,Player B,0
21,52,Player B,1
43,48,Player B,1
60,100,Player B,0
29,-68,Player B,1
9,-86,Player B,1
-4,15,Player B,0
29,6,Player B,0
42,-50,Player B,1
-11,-34,Player B,1
-25,-4,Player B,1
-21,22,Player B,0
87,76,Player B,0
-44,-48,Player B,1
-18,-3,Player B,1
4,115,Player B,0
41,32,Player B,0
-9,6,Player B,1
21,-6,Player B,1
5,-11,Player B,1
97,-90,Player B,0
-6,31,Player B,1
37,-6,Player B,1
20,86,Player B,1
-9,120,Player B,0
2,-84,Player B,1
7,-64,Player B,0
1,-33,Player B,1
-14,37,Player B,0
-15,45,Player B,1
-9,9,Player B,1
59,132,Player B,0
-4,35,Player B,0
20,-4,Player B,1
-25,15,Player B,1
58,106,Player B,0
-30,-9,Player B,1
33,-87,Player B,0
50,26,Player B,0
-71,10,Player B,0
4,32,Player B,1
-5,31,Player B,0
46,25,Player B,0
-4,135,Player B,0
-1,59,Player B,1
-55,19,Player B,0
54,-128,Player B,1
-1,71,Player B,0
-21,48,Player B,1
37,-53,Player B,1
93,81,Player B,1
21,30,Player B,1
-25,16,Player B,1
47,35,Player B,0
89,122,Player B,0
-17,-4,Player B,1
-2,30,Player B,1
91,46,Player B,0
-22,113,Player B,0
10,35,Player B,0
13,119,Player B,0
-4,15,Player B,1
15,54,Player B,0
-9,58,Player B,1
115,84,Player B,0
-30,34,Player B,1
-31,-28,Player B,1
79,-14,Player B,0
-11,52,Player B,1
80,80,Player B,0
9,-23,Player B,1
-24,11,Player B,1
-18,34,Player B,1
15,28,Player B,1
24,41,Player B,1
45,17,Player B,0
-19,108,Player B,0
-32,47,Player B,1
-41,16,Player B,1
0,69,Player B,0
73,71,Player B,1
-10,116,Player B,0
-65,51,Player B,1
22,62,Player B,0
21,102,Player B,1
-74,95,Player B,0
9,78,Player B,1
-20,6,Player B,1
32,93,Player B,0
6,61,Player B,0
113,99,Player B,0
30,15,Player B,1
-31,13,Player B,1
29,-19,Player B,1
-24,-3,Player B,1
-34,13,Player B,1
104,80,Player B,0
-46,11,Player B,1
-79,88,Player B,0
72,57,Player B,0
0,54,Player B,0
57,6,Player B,1
0,64,Player B,1
-30,7,Player B,0
-58,46,Player B,1
0,108,Player B,0
67,22,Player B,0
-28,21,Player B,1
-62,-103,Player B,1
-2,109,Player B,0
24,11,Player B,1
-80,64,Player B,0
-55,117,Player B,0
-95,92,Player B,0
36,-24,Player B,1
-33,40,Player B,0
11,-60,Player B,1
-17,3,Player B,1
115,76,Player B,0
35,40,Player B,1
-14,2,Player B,1
123,87,Player B,0
-9,122,Player B,0
-25,115,Player B,0
-85,105,Player B,0
28,-14,Player B,1
27,21,Player B,0
31,49,Player B,0
41,-5,Player B,1
0,-33,Player B,1
-36,7,Player B,0
93,107,Player B,0
-35,-26,Player B,1
-23,3,Player B,1
-46,15,Player B,0
44,-13,Player B,1
-2,15,Player B,1
37,11,Player B,0
50,5,Player B,0
74,46,Player B,0
-18,-111,Player B,0
-40,112,Player B,0
66,68,Player B,1
-17,-39,Player B,0
31,51,Player B,0
-16,35,Player B,1
-31,27,Player B,1
24,-107,Player B,0
-2,46,Player B,1
-80,57,Player B,0
36,-68,Player B,0
36,-25,Player B,1
-16,6,Player B,1
-35,76,Player B,0
-24,60,Player B,1
37,105,Player B,0
45,-49,Player B,1
-42,68,Player B,0
-16,39,Player B,0
-26,101,Player B,0
20,53,Player B,1
41,97,Player B,0
-8,68,Player B,0
13,6,Player B,0
-34,43,Player B,1
-38,-47,Player B,1
70,70,Player B,0
-12,108,Player B,0
-17,51,Player B,1
32,-5,Player B,1
54,-110,Player B,0
95,-40,Player B,0
87,-73,Player B,0
90,-77,Player B,0
-34,3,Player B,0
60,67,Player B,0
41,12,Player B,0
80,71,Player B,0
30,17,Player B,1
-47,42,Player B,0
26,70,Player B,0
-24,99,Player B,0
-27,-12,Player B,1
-67,82,Player B,0
1,-115,Player B,0
63,1,Player B,0
65,-10,Player B,0
47,20,Player B,0
-23,-47,Player B,1
43,70,Player B,0
-5,35,Player B,0
23,0,Player B,1
-26,35,Player B,1
52,46,Player B,1
80,98,Player B,0
35,0,Player B,1
57,100,Player B,0
-43,56,Player B,0
-2,30,Player B,0
20,113,Player B,0
-12,13,Player B,1
1,-97,Player B,0
-25,3,Player B,1
-37,139,Player B,0
6,-106,Player B,0
41,-18,Player B,0
64,-107,Player B,0
-34,28,Player B,0
-43,21,Player B,0
30,20,Player B,1
-2,130,Player B,0
7,109,Player B,0
-67,65,Player B,1
0,0,Player B,1
5,35,Player B,1
35,2,Player B,0
78,89,Player B,0
57,-15,Player B,0
84,56,Player B,0
48,125,Player B,0
48,30,Player B,0
34,-8,Player B,1
25,-47,Player B,1
63,120,Player B,0
95,32,Player B,0
36,62,Player B,0
85,-11,Player B,0
-38,38,Player B,1
73,-91,Player B,0
-38,-22,Player B,1
-28,8,Player B,1
90,63,Player B,0
-41,19,Player B,0
-34,25,Player B,0
-44,18,Player B,0
-14,-2,Player B,1
-5,56,Player B,1
-68,100,Player B,0
-33,-115,Player B,0
23,-39,Player B,0
-30,16,Player B,0
0,0,Player B,1
77,106,Player B,0
16,-45,Player B,0
-53,-1,Player B,0
-40,-5,Player B,1
77,76,Player B,1
-57,47,Player B,0
14,88,Player B,0
-60,-65,Player B,0
-74,23,Player B,0
2,36,Player B,1
23,96,Player B,0
-2,27,Player B,1
-75,-45,Player B,0
-63,117,Player B,0
-47,119,Player B,0
23,53,Player B,0
66,40,Player B,1
81,-86,Player B,0
-36,21,Player B,1
-34,113,Player B,0
4,-10,Player B,0
48,98,Player B,0
83,0,Player B,0
-32,-50,Player B,0
16,-107,Player B,0
-57,99,Player B,0
-50,3,Player B,1
0,150,Player B,0
42,-36,Player B,1
-44,0,Player B,0
-71,5,Player B,0
2,109,Player B,0
-30,-101,Player B,0
-45,-35,Player B,0
63,93,Player B,0
30,-16,Player B,0
44,-31,Player B,1
-7,100,Player B,0
55,-109,Player B,0
0,150,Player B,0
28,78,Player B,1
16,39,Player B,0
30,49,Player B,0
47,-2,Player B,1
44,-46,Player B,1
-7,-98,Player B,0
-18,-111,Player B,0
-25,-79,Player B,1
-45,1,Player B,1
-47,-38,Player B,0
-77,-26,Player B,0
53,92,Player B,0
-7,-102,Player B,0
65,115,Player B,0
-50,21,Player B,0
8,108,Player B,0
-95,-112,Player B,0
-6,-53,Player B,1
84,115,Player B,0
-50,-49,Player B,1
-50,2,Player B,0
85,-50,Player B,0
58,43,Player B,0
-90,-17,Player B,0
41,-92,Player B,0
-17,-8,Player B,1
-14,-37,Player B,1
-47,45,Player B,1
-70,95,Player B,0
-20,19,Player B,1
-26,42,Player B,1
-40,-97,Player B,0
-22,21,Player B,1
72,95,Player B,0
46,21,Player B,0
79,-84,Player B,0
29,69,Player B,0
-24,6,Player B,1
-24,35,Player B,1
-28,-9,Player B,1
39,39,Player B,1
-19,-14,Player B,1
-33,0,Player B,1
40,40,Player B,0
-9,18,Player B,1
-35,-9,Player B,1
2,21,Player B,1
41,-16,Player B,1
61,-21,Player B,0
8,16,Player B,0
0,150,Player B,0
20,6,Player B,1
-46,0,Player B,0
38,-101,Player B,0
52,33,Player B,0
-15,88,Player B,0
62,-39,Player B,0
35,113,Player B,0
27,-65,Player B,0
5,3,Player B,0
-8,-6,Player B,1
10,17,Player B,0
24,-37,Player B,1
87,12,Player B,0
46,18,Player B,1
-44,-101,Player B,1
-31,-10,Player B,0
-15,22,Player B,1
72,86,Player B,0
23,27,Player B,0
56,31,Player B,1
-53,116,Player B,0
8,16,Player B,1
-54,71,Player B,0
41,-51,Player B,1
20,-105,Player B,0
17,-49,Player B,0
-40,108,Player B,0
33,32,Player B,1
-2,-48,Player B,0
46,47,Player B,1
38,29,Player B,1
-35,53,Player B,1
78,5,Player B,0
18,-105,Player B,0
-13,-18,Player B,1
-21,-17,Player B,1
16,-1,Player B,0
3,1,Player B,0
52,-91,Player B,0
41,-1,Player B,1
77,98,Player B,0
-23,110,Player B,0
-7,-107,Player B,0
74,49,Player B,0
0,-41,Player B,1
10,76,Player B,0
31,57,Player B,0
60,81,Player B,0
-18,-103,Player B,0
36,-39,Player B,1
-6,79,Player B,1
3,43,Player B,0
-46,96,Player B,0
-55,112,Player B,0
-12,65,Player B,1
-6,-19,Player B,1
55,16,Player B,1
31,105,Player B,1
86,53,Player B,0
18,-102,Player B,1
-33,38,Player B,0
30,38,Player B,1
44,19,Player B,1
-40,115,Player B,0
-76,32,Player B,0
31,59,Player B,1
41,32,Player B,1
90,-101,Player B,0
52,45,Player B,0
93,-101,Player B,0
5,-69,Player B,1
-51,38,Player B,0
47,102,Player B,0
76,92,Player B,0
66,42,Player B,0
50,45,Player B,1
84,67,Player B,0
-3,86,Player B,0
-62,28,Player B,0
87,65,Player B,1
52,-6,Player B,1
-66,38,Player B,1
82,5,Player B,0
84,111,Player B,0
55,-5,Player B,1
-61,-9,Player B,0
74,6,Player B,0
20,87,Player B,1
87,30,Player B,0
21,50,Player B,1
70,87,Player B,0
54,38,Player B,0
-65,-26,Player B,0
-74,-16,Player B,0
-50,53,Player B,0
-47,98,Player B,0
8,73,Player B,1
58,96,Player B,0
0,52,Player B,1
10,55,Player B,1
-32,38,Player B,1
11,68,Player B,0
-32,48,Player B,0
52,85,Player B,0
77,105,Player B,0
-10,53,Player B,0
31,22,Player B,0
20,83,Player B,0
53,42,Player B,1
46,50,Player B,0
-16,103,Player B,0
78,55,Player B,0
-52,46,Player B,1
-71,46,Player B,0
-55,100,Player B,0
-46,40,Player B,0
-71,63,Player B,0
-17,83,Player B,0
-20,56,Player B,1
-2,59,Player B,1
-4,81,Player B,0
-16,-51,Player B,1
-18,-23,Player B,1
7,59,Player B,0
10,112,Player B,0
1,111,Player B,1
-25,0,Player B,1
56,118,Player B,0
17,-6,Player B,1
5,119,Player B,0
23,-1,Player B,1
-2,118,Player B,0
0,150,Player B,0
50,-108,Player B,0
12,-91,Player B,0
-65,-90,Player B,0
-67,41,Player B,0
-20,38,Player B,1
87,-62,Player B,0
70,56,Player B,0
75,31,Player B,0
62,35,Player B,0
6,59,Player B,0
66,-12,Player B,0
50,0,Player B,0
-14,21,Player B,1
71,-55,Player B,1
0,-12,Player B,1
27,16,Player B,0
21,57,Player B,1
0,0,Player B,1
36,0,Player B,1
-20,-1,Player B,1
13,-111,Player B,0
-55,41,Player B,0
-7,-102,Player B,0
-36,90,Player B,0
53,-91,Player B,0
67,17,Player B,0
1,110,Player B,0
-30,-58,Player B,1
-35,-103,Player B,0
-23,-40,Player B,1
-42,51,Player B,0
70,-90,Player B,0
20,41,Player B,1
-1,59,Player B,1
